day,state,fips,cases,deaths,year,month
2020-05-31,Delaware,10,9498,366,2020,5
2020-05-31,District of Columbia,11,8801,466,2020,5
2020-05-31,Florida,12,56155,2450,2020,5
2020-05-31,Georgia,13,45051,2019,2020,5
2020-05-31,Guam,66,1144,6,2020,5
2020-05-31,Hawaii,15,642,17,2020,5
2020-05-31,Idaho,16,2855,82,2020,5
2020-05-31,Illinois,17,120588,5426,2020,5
2020-05-31,Indiana,18,35429,2134,2020,5
2020-05-31,Iowa,19,19621,537,2020,5
2020-05-31,Kansas,20,9878,211,2020,5
2020-05-31,Kentucky,21,9937,441,2020,5
2020-05-31,Louisiana,22,40021,2791,2020,5
2020-05-31,Maine,23,2325,89,2020,5
2020-05-31,Maryland,24,53456,2532,2020,5
2020-05-31,Massachusetts,25,96965,6846,2020,5
2020-05-31,Michigan,26,57355,5491,2020,5
2020-05-31,Minnesota,27,24860,1050,2020,5
2020-05-31,Mississippi,28,15501,734,2020,5
2020-05-31,Missouri,29,13297,784,2020,5
2020-05-31,Montana,30,515,17,2020,5
2020-05-31,Nebraska,31,14101,178,2020,5
2020-05-31,Nevada,32,8628,419,2020,5
2020-05-31,New Hampshire,33,4651,245,2020,5
2020-05-31,New Jersey,34,160445,11698,2020,5
2020-05-31,New Mexico,35,7689,356,2020,5
2020-05-31,New York,36,375575,29699,2020,5
2020-05-31,North Carolina,37,28686,911,2020,5
2020-05-31,North Dakota,38,2580,64,2020,5
2020-05-31,Northern Mariana Islands,69,22,2,2020,5
2020-05-31,Ohio,39,35513,2155,2020,5
2020-05-31,Oklahoma,40,6506,334,2020,5
2020-05-31,Oregon,41,4243,153,2020,5
2020-05-31,Pennsylvania,42,76218,5555,2020,5
2020-05-31,Puerto Rico,72,3776,136,2020,5
2020-05-31,Rhode Island,44,14928,718,2020,5
2020-05-31,South Carolina,45,11861,494,2020,5
2020-05-31,South Dakota,46,4993,62,2020,5
2020-05-31,Tennessee,47,22832,360,2020,5
2020-05-31,Texas,48,64974,1683,2020,5
2020-05-31,Utah,49,9829,113,2020,5
2020-05-31,Vermont,50,981,55,2020,5
2020-05-31,Virgin Islands,78,70,6,2020,5
2020-05-31,Virginia,51,44607,1375,2020,5
2020-05-31,Washington,53,22814,1126,2020,5
2020-05-31,West Virginia,54,2010,75,2020,5
2020-05-31,Wisconsin,55,18684,594,2020,5
2020-05-31,Wyoming,56,903,16,2020,5
2020-06-30,Alabama,1,38045,950,2020,6
2020-06-30,Alaska,2,1132,12,2020,6
2020-06-30,Arizona,4,79399,1645,2020,6
2020-06-30,Arkansas,5,20777,270,2020,6
2020-06-30,California,6,232153,6083,2020,6
2020-06-30,Colorado,8,32698,1690,2020,6
2020-06-30,Connecticut,9,46514,4322,2020,6
2020-06-30,Delaware,10,11474,509,2020,6
2020-06-30,District of Columbia,11,10327,551,2020,6
